common_count,discipline complementarity score
2,0.010204082
259,0.010192837
10,0.01017294
3,0.010169492
241,0.010158918
16,0.01015873
49,0.010157546
35,0.010150812
756,0.010147923
251,0.010139366
7,0.010130246
378,0.010129432
24,0.01011378
8,0.01010101
7,0.01010101
256,0.010094239
6,0.010067114
5,0.010060362
166,0.010058168
434,0.010056539
58,0.010055479
796,0.010055203
3,0.010033445
784,0.009999362
2118,0.00999613
249,0.009995584
15,0.009960159
57,0.009958071
87,0.009948542
2068,0.009938915
381,0.009925752
1369,0.009918852
6,0.009917355
46,0.009907387
1770,0.009902707
18,0.00990099
3,0.00990099
452,0.009890158
30,0.009887937
537,0.009877315
40,0.009861933
176,0.009859944
2,0.009852217
3882,0.009851167
562,0.009848073
236,0.009836612
132,0.009828742
8,0.009803922
1,0.009803922
157,0.009803309
476,0.009795448
58,0.009792335
52,0.009787314
262,0.009776119
19,0.009763618
7,0.009762901
79,0.0097567
245,0.009755903
914,0.009752454
200,0.009736624
15,0.009733939
8,0.00973236
791,0.00972856
33,0.009725906
4551,0.009725793
13,0.009715994
1,0.009708738
24,0.009693053
21,0.009681881
26,0.009679821
39,0.009667824
751,0.009666748
3769,0.009642074
170,0.009637735
924,0.009614384
47,0.009611452
150,0.009606763
21,0.009602195
10,0.009596929
105,0.009573304
11,0.009565217
33,0.009562446
52,0.009558824
5835,0.009558648
1048,0.009551847
650,0.009544927
347,0.009544767
45,0.009544008
771,0.009537004
1,0.00952381
1,0.00952381
66,0.009510086
181,0.009505803
161,0.009502449
17,0.009491904
714,0.009486607
1372,0.009486079
21,0.009485095
2,0.009478673
756,0.009465974
509,0.009456221
511,0.009441283
29,0.009440104
4,0.009433962
812,0.009416458
102,0.009410462
59,0.009408388
56,0.009400705
1620,0.009399641
33,0.009391007
527,0.009390759
239,0.009389856
3,0.009375
71,0.009370463
60,0.009358914
47,0.009356958
1,0.009345794
12,0.009345794
13,0.00933908
314,0.009312257
30,0.009310987
59,0.009310399
1190,0.009294406
2810,0.009287598
8,0.009269988
10,0.009267841
19,0.009263774
5,0.009259259
1,0.009259259
67,0.009252866
3,0.009230769
980,0.009218844
28,0.009213557
4,0.009195402
2,0.009174312
209,0.009173104
759,0.009170211
8,0.009142857
5,0.009124088
6,0.009118541
3,0.009118541
6,0.009118541
12,0.009104704
10721,0.009101467
4,0.009070295
14,0.009055627
105,0.009047045
28,0.009041007
25,0.009038322
3,0.009036145
6,0.009022556
119,0.009017884
885,0.009012679
129,0.008988294
31,0.008985507
549,0.008979832
545,0.008974
233,0.008971545
44,0.008970438
112,0.008952838
74,0.008951252
339,0.008950259
12,0.008941878
13,0.008934708
148,0.008931804
5,0.008928571
2,0.008928571
1,0.008928571
18,0.008919722
28,0.008903021
3,0.008902077
49,0.008891308
22,0.008885299
495,0.008866677
459,0.008865796
130,0.00885016
3,0.008849558
37,0.008845326
8,0.008839779
17,0.008817427
46,0.008812261
2,0.008810573
42,0.008805031
327,0.008794342
45,0.008775351
2,0.00877193
2,0.00877193
1,0.00877193
1,0.00877193
28,0.008766437
539,0.008757108
24,0.008743169
160,0.008742692
33,0.008741722
33,0.008741722
2,0.008733624
57,0.008732955
3,0.00872093
101,0.008696401
12,0.008695652
1,0.008695652
46,0.008694009
23,0.008692366
2,0.008658009
92,0.008635254
1268,0.00863325
702,0.008622172
3,0.00862069
1768,0.008605374
565,0.008603886
815,0.008580935
189,0.008574929
23,0.008572493
1971,0.00853901
1214,0.008528755
15,0.008513053
17,0.008508509
43,0.008504747
1420,0.008500398
3494,0.008500079
233,0.00847766
608,0.008468202
4,0.00845666
675,0.008455786
1635,0.008437969
1268,0.008433206
2,0.008403361
119,0.008397431
697,0.008385164
11,0.008384146
3,0.008379888
714,0.008370653
1880,0.008368164
20,0.008343763
622,0.008330097
50,0.008298755
875,0.008279321
3324,0.008272628
9,0.008264463
1,0.008264463
218,0.008259453
675,0.008257386
1337,0.008256501
5,0.008237232
5,0.008237232
7,0.008235294
5085,0.008235005
2,0.008230453
20,0.008216927
199,0.008209232
126,0.008196721
175,0.008194802
226,0.008177739
118,0.008157622
1235,0.008157038
14,0.008139535
26,0.008135169
13,0.008114856
19,0.008105802
21,0.008104979
10,0.008103728
